iter	RMSE
0	171.6584838
1	162.1758613
2	154.982746
3	146.6075983
4	139.9136584
5	133.7464441
6	128.1181407
7	123.2195813
8	118.4904459
9	114.8803991
10	111.0270862
11	107.2060081
12	103.6600806
13	100.1090597
14	97.43811427
15	95.32002516
16	92.70931337
17	90.56622857
18	89.00970545
19	87.4735317
20	85.4294462
21	84.17655548
22	82.89693446
23	81.3110809
24	79.77522539
25	78.93119881
26	77.93573958
27	76.92333512
28	75.64809246
29	74.71900569
30	73.44603005
31	72.61715571
32	71.79276995
33	71.03247339
34	69.98306533
35	69.27771751
36	68.44296438
37	67.89868765
38	67.15718664
39	66.54093042
40	65.81929638
41	65.23209145
42	64.82268739
43	64.2562514
44	63.74158072
45	63.12788537
46	62.81184983
47	62.39133709
48	61.94621318
49	61.52799441
50	61.03305041
51	60.72453708
52	60.38847918
53	60.08354476
54	59.74195716
55	59.39548645
56	59.12721793
57	58.80028019
58	58.47902556
59	58.20822116
60	57.99582232
61	57.66810236
62	57.47831635
63	57.25453121
64	57.00465003
65	56.70923992
66	56.48772671
67	56.19698823
68	55.91980462
69	55.71551082
70	55.53648268
71	55.28547784
72	55.04383731
73	54.78418303
74	54.58237527
75	54.33318135
76	54.11237632
77	53.89599467
78	53.68676662
79	53.48056768
80	53.23541949
81	52.98670282
82	52.76107543
83	52.52628448
84	52.3367905
85	52.17550942
86	51.96522383
87	51.76255574
88	51.54147447
89	51.38608723
90	51.20317302
91	51.0232148
92	50.79084145
93	50.54569588
94	50.36773552
95	50.1856025
96	49.98794493
97	49.85114254
98	49.68943269
99	49.50813649
100	49.35200491
101	49.1898878
102	49.03126377
103	48.88365258
104	48.73106574
105	48.59900248
106	48.45640705
107	48.33942108
108	48.1672931
109	48.012451
110	47.83496998
111	47.69082602
112	47.51819289
113	47.38343528
114	47.2268757
115	47.08193429
116	46.96090473
117	46.8035429
118	46.67262006
119	46.53502596
120	46.38767015
121	46.24436066
122	46.08958991
123	45.94786047
124	45.82811384
125	45.70198333
126	45.57727165
127	45.47491427
128	45.35383452
129	45.23190916
130	45.11703466
131	44.99312023
132	44.88066838
133	44.76359781
134	44.65635587
135	44.47910568
136	44.3838278
137	44.2746069
138	44.18961591
139	44.03380216
140	43.94166351
141	43.82749879
142	43.72444338
143	43.6310015
144	43.50829158
145	43.40844694
146	43.28248664
147	43.1560175
148	43.0883689
149	42.9990556
150	42.88859776
151	42.78849708
152	42.71159527
153	42.62248362
154	42.52462656
155	42.43731934
156	42.3705239
157	42.27834505
158	42.16601555
159	42.07052321
160	42.00476739
161	41.88924627
162	41.79627727
163	41.70638225
164	41.63507087
165	41.54466398
166	41.46050493
167	41.37497531
168	41.26436547
169	41.19303051
170	41.11276454
171	41.0326118
172	40.96056129
173	40.88663123
174	40.81000358
175	40.73119956
176	40.64279157
177	40.563753
178	40.4877572
179	40.41612516
180	40.3514342
181	40.28266614
182	40.21914699
183	40.1131148
184	40.04950726
185	39.98234586
186	39.92390965
187	39.85715728
188	39.75494563
189	39.69743152
190	39.6415838
191	39.58276984
192	39.4960801
193	39.39946501
194	39.33705851
195	39.26539923
196	39.18857999
197	39.11326522
198	39.05337919
199	39.00423992
200	38.91649138
201	38.84406617
202	38.780904
203	38.7179129
204	38.64873458
205	38.59246771
206	38.51295365
207	38.44317956
208	38.39197004
209	38.32646648
210	38.26593938
211	38.21480474
212	38.13709019
213	38.08123819
214	38.00822723
215	37.94190879
216	37.87620798
217	37.81394452
218	37.77515566
219	37.71773468
220	37.65002819
221	37.59018079
222	37.51901625
223	37.43590477
224	37.37055785
225	37.28565631
226	37.22355997
227	37.1813523
228	37.13189754
229	37.07832251
230	37.01548092
231	36.93366151
232	36.88518854
233	36.81343536
234	36.7674081
235	36.70375933
236	36.63759437
237	36.57870802
238	36.52725003
239	36.45675104
240	36.41430349
241	36.34989262
242	36.28065077
243	36.22212449
244	36.17129392
